timestamp,day_of_week,month,hour,is_weekend,quarter,category,base_price,cost_price,stock_level,product_age_days,competitor_price,demand_index,promo_active,discount_pct,customer_rating,reviews_count,holiday_season,selling_price,units_sold,revenue,margin_ratio,price_tier,high_demand
2022-01-01 00:00:00,5,1,0,1,1,Home,28.91,19.9,439,601,33.0,1.3220172129742827,0,0.0,1.8,77,1,30.15,27,814.05,0.34,Medium,1
2022-01-01 01:00:00,5,1,1,1,1,Sports,440.65,208.74,158,420,404.68,1.372817748252409,1,16.7,2.4,4528,1,356.07,28,9969.96,0.4138,Medium,1
2022-01-01 02:00:00,5,1,2,1,1,Food,164.32,66.18,113,653,155.41,0.6057246620201527,0,0.0,2.7,3742,1,162.64,22,3578.08,0.5931,High,0
2022-01-01 03:00:00,5,1,3,1,1,Sports,73.2,38.81,23,174,82.16,1.569787892541501,0,0.0,1.9,3027,1,74.6,23,1715.8,0.4798,High,0
2022-01-01 04:00:00,5,1,4,1,1,Sports,239.55,121.62,162,713,256.43,1.376148309446126,0,0.0,4.4,2050,1,250.88,26,6522.88,0.5152,High,0
2022-01-01 05:00:00,5,1,5,1,1,Clothing,303.17,170.3,285,113,346.13,0.5755917857114006,0,0.0,1.3,4390,1,309.53,23,7119.19,0.4498,Medium,0
2022-01-01 06:00:00,5,1,6,1,1,Food,25.18,16.09,352,174,28.15,0.7976385006075549,1,7.1,2.0,3239,1,23.49,29,681.21,0.315,Medium,1
2022-01-01 07:00:00,5,1,7,1,1,Food,144.7,94.45,54,74,132.33,0.8029151305888441,0,0.0,1.8,1949,1,144.17,25,3604.25,0.3449,Medium,0
2022-01-01 08:00:00,5,1,8,1,1,Food,26.07,13.57,63,637,28.1,0.7564519279150388,0,0.0,4.8,3015,1,26.45,24,634.8,0.487,High,0
2022-01-01 09:00:00,5,1,9,1,1,Sports,215.96,114.23,32,536,186.71,1.4879689319341656,1,31.1,3.5,2964,1,151.57,29,4395.53,0.2464,Medium,1
2022-01-01 10:00:00,5,1,10,1,1,Home,448.6,199.38,45,32,491.37,1.8926594230336533,0,0.0,3.9,2367,1,470.71,30,14121.3,0.5764,High,1
2022-01-01 11:00:00,5,1,11,1,1,Food,491.5,203.61,218,254,506.47,1.644462988037539,0,0.0,1.4,2994,1,484.09,29,14038.61,0.5794,High,1
2022-01-01 12:00:00,5,1,12,1,1,Sports,322.15,190.83,480,497,366.23,1.2160602278208699,0,0.0,1.8,2075,1,312.89,26,8135.14,0.3901,Medium,0
2022-01-01 13:00:00,5,1,13,1,1,Clothing,89.2,37.4,288,113,101.51,1.1060769469767229,0,0.0,4.2,4787,1,88.53,24,2124.72,0.5775,High,0
2022-01-01 14:00:00,5,1,14,1,1,Home,453.87,281.47,195,195,392.71,1.0796871579638339,0,0.0,3.3,2940,1,442.35,24,10616.4,0.3637,Medium,0
2022-01-01 15:00:00,5,1,15,1,1,Clothing,262.96,147.71,252,528,236.18,1.4018704365437376,0,0.0,1.2,2646,1,251.03,21,5271.63,0.4116,Medium,0
2022-01-01 16:00:00,5,1,16,1,1,Home,85.34,39.22,447,441,84.94,1.0388309884168045,0,0.0,3.3,2439,1,89.33,26,2322.58,0.561,High,0
2022-01-01 17:00:00,5,1,17,1,1,Sports,461.65,259.38,285,489,514.21,0.8391829567830758,1,21.7,2.9,1608,1,345.61,28,9677.08,0.2495,Medium,1
2022-01-01 18:00:00,5,1,18,1,1,Electronics,381.16,173.39,235,497,417.12,1.4042643598633744,1,26.9,1.6,676,1,278.11,33,9177.63,0.3765,Medium,1
2022-01-01 19:00:00,5,1,19,1,1,Home,368.54,195.92,78,724,419.88,1.0860581201413597,0,0.0,3.4,717,1,367.73,22,8090.06,0.4672,High,0
2022-01-01 20:00:00,5,1,20,1,1,Clothing,357.5,228.75,412,620,370.16,0.5211872437157508,0,0.0,1.7,819,1,346.25,28,9695.0,0.3394,Medium,1
2022-01-01 21:00:00,5,1,21,1,1,Sports,108.17,58.26,445,24,100.27,0.5333466703501618,1,33.2,4.2,2793,1,72.82,30,2184.6,0.1999,Low,1
2022-01-01 22:00:00,5,1,22,1,1,Home,113.39,50.41,91,290,97.24,0.9112049167316275,0,0.0,3.5,3987,1,117.07,23,2692.61,0.5694,High,0
2022-01-01 23:00:00,5,1,23,1,1,Electronics,347.26,214.31,95,308,318.4,1.2686332992602956,0,0.0,4.5,2531,1,360.33,21,7566.93,0.4052,Medium,0
2022-01-02 00:00:00,6,1,0,1,1,Electronics,117.66,53.66,227,304,123.85,1.031359261501983,0,0.0,2.7,4695,1,116.08,26,3018.08,0.5377,High,0
2022-01-02 01:00:00,6,1,1,1,1,Food,224.95,139.82,285,631,253.72,0.5360827285813279,1,34.0,3.0,3975,1,143.93,28,4030.04,0.0286,Low,1
2022-01-02 02:00:00,6,1,2,1,1,Food,393.18,213.81,361,693,372.05,0.8347276456298607,0,0.0,4.0,1243,1,393.45,16,6295.2,0.4566,High,0
2022-01-02 03:00:00,6,1,3,1,1,Clothing,394.14,211.31,234,38,438.56,0.6446289630119242,1,34.9,3.2,1427,1,246.88,25,6172.0,0.1441,Low,0
2022-01-02 04:00:00,6,1,4,1,1,Home,232.1,152.13,101,386,224.78,1.9229480020421248,1,23.2,3.3,1050,1,184.5,33,6088.5,0.1754,Low,1
2022-01-02 05:00:00,6,1,5,1,1,Home,398.17,243.91,251,581,375.27,0.9692511134427897,0,0.0,3.2,1013,1,396.59,28,11104.52,0.385,Medium,1
